,Category,Correct,QuestionLink,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,18.1,b,https://i.imgur.com/vrdvmAD.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
1,4.1,d,https://i.imgur.com/UMHg6Sk.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
2,5.1,b,https://i.imgur.com/u2gQndQ.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
3,19.1,b,https://i.imgur.com/5fOYpMO.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
4,20.1,b,https://i.imgur.com/vRDB1th.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
5,19.1,a,https://i.imgur.com/HOFn5UO.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
6,17.1,b,https://i.imgur.com/v1x4Ny2.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
7,10.1,b,https://i.imgur.com/Qu7pg5f.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
8,2.1,b,https://i.imgur.com/g07gfAu.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
9,17.1,d,https://i.imgur.com/Wyy1duU.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
10,10.1,c,https://i.imgur.com/hH7m6XC.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
11,14.1,b,https://i.imgur.com/o3W1XVV.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
12,23.1,d,https://i.imgur.com/RgxbNEz.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
13,10.1,d,https://i.imgur.com/UuK8Gnu.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
14,10.1,d,https://i.imgur.com/uaDeUx6.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
15,10.1,d,https://i.imgur.com/2okSQpL.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
16,9.1,b,https://i.imgur.com/1bxBMOK.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
17,3.1,b,https://i.imgur.com/iGNn0xv.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
18,20.1,a,https://i.imgur.com/re6eBBC.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
19,2.1,c,https://i.imgur.com/1IOu46D.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
20,18.1,b,https://i.imgur.com/XW7iFjZ.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
21,6.1,c,https://i.imgur.com/XQrkZPc.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
22,3.1,b,https://i.imgur.com/HF5Re6i.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
