,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,a,https://i.imgur.com/yQ1sdGC.png,A,B,C,D,SSC,Bi,20.1
2,c,https://i.imgur.com/LNS0nqP.png,A,B,C,D,SSC,Bi,20.1
4,a,https://i.imgur.com/tdIXNyy.png,A,B,C,D,SSC,Bi,20.1
5,c,https://i.imgur.com/jivc6Of.png,A,B,C,D,SSC,Bi,20.1
7,b,https://i.imgur.com/TUMmdh8.png,A,B,C,D,SSC,Bi,20.1
8,c,https://i.imgur.com/QkMBTNu.png,A,B,C,D,SSC,Bi,20.1
9,c,https://i.imgur.com/FZlnsRs.png,A,B,C,D,SSC,Bi,20.1
11,c,https://i.imgur.com/v5GG3zB.png,A,B,C,D,SSC,Bi,20.1
12,b,https://i.imgur.com/N1dQf1b.png,A,B,C,D,SSC,Bi,20.1
13,d,https://i.imgur.com/nisrUkW.png,A,B,C,D,SSC,Bi,20.1
35,b,https://i.imgur.com/XUQIJBf.png,A,B,C,D,SSC,Bi,20.1
36,c,https://i.imgur.com/1nmZe67.png,A,B,C,D,SSC,Bi,20.1
37,c,https://i.imgur.com/C7wmOhH.png,A,B,C,D,SSC,Bi,20.1
38,c,https://i.imgur.com/q1ymCFe.png,A,B,C,D,SSC,Bi,20.1
40,d,https://i.imgur.com/6ZaRFQW.png,A,B,C,D,SSC,Bi,20.1
41,d,https://i.imgur.com/P6N31k5.png,A,B,C,D,SSC,Bi,20.1
42,c,https://i.imgur.com/iKmnrDZ.png,A,B,C,D,SSC,Bi,20.1
43,c,https://i.imgur.com/HMTt066.png,A,B,C,D,SSC,Bi,20.1
45,d,https://i.imgur.com/Kc6TG0D.png,A,B,C,D,SSC,Bi,20.1
46,d,https://i.imgur.com/gZjfVmj.png,A,B,C,D,SSC,Bi,20.1
47,c,https://i.imgur.com/Geca5g8.png,A,B,C,D,SSC,Bi,20.1
48,a,https://i.imgur.com/zml8q4U.png,A,B,C,D,SSC,Bi,20.1
50,c,https://i.imgur.com/ubQX4Kr.png,A,B,C,D,SSC,Bi,20.1
51,b,https://i.imgur.com/OJzC7GN.png,A,B,C,D,SSC,Bi,20.1
52,c,https://i.imgur.com/QUhq2NC.png,A,B,C,D,SSC,Bi,20.1
53,a,https://i.imgur.com/QqDc8BS.png,A,B,C,D,SSC,Bi,20.1
